,age,segment,vintage_group,card_number,card_family,credit_limit,customer_id,transaction_id,transaction_date,value,transaction_segment,fraud_flag
90,42,Diamond,VG1,3295-6390-4452-7199,Gold,6000,CC76008,CTID20567160,2016-10-08,49155,SEG16,True
52,30,Diamond,VG1,4562-2665-7578-1931,Premium,781000,CC19186,CTID15034243,2016-02-14,48845,SEG19,True
59,22,Gold,VG3,2017-7197-7814-9950,Platinum,163000,CC93684,CTID95884307,2016-11-07,48588,SEG16,True
8,27,Diamond,VG1,8262-8743-6406-7105,Premium,331000,CC30400,CTID54759604,2016-09-07,48567,SEG20,True
76,41,Diamond,VG1,9030-1667-6058-6173,Premium,426000,CC61186,CTID55429304,2016-03-03,48514,SEG15,True
2,35,Diamond,VG1,9930-4634-8565-6716,Premium,492000,CC41731,CTID29469747,2016-11-15,48453,SEG12,True
78,35,Diamond,VG1,7908-2695-7391-7499,Gold,34000,CC53797,CTID76723439,2016-09-15,48275,SEG16,True
45,41,Diamond,VG1,2077-2389-7798-4862,Premium,642000,CC19277,CTID85085771,2016-04-22,48186,SEG11,True
43,24,Diamond,VG1,1466-1600-9312-7604,Premium,249000,CC60926,CTID25962688,2016-08-18,45807,SEG20,True
0,26,Diamond,VG1,9386-8854-6115-4075,Gold,20000,CC35402,CTID60575167,2016-06-18,45760,SEG23,True
49,50,Diamond,VG1,6228-9033-3508-8121,Gold,33000,CC36771,CTID42980186,2016-02-17,45625,SEG22,True
13,32,Diamond,VG1,8528-6154-7390-5081,Premium,686000,CC90833,CTID63762180,2016-12-05,44550,SEG15,True
100,32,Gold,VG3,9425-1481-6545-6190,Premium,145000,CC84333,CTID31867370,2016-06-18,44234,SEG15,True
11,41,Diamond,VG1,6239-8641-8524-9441,Gold,26000,CC18438,CTID40881434,2016-09-10,43482,SEG15,True
40,48,Platinum,VG2,5274-7205-2377-3357,Premium,287000,CC51714,CTID41847490,2016-06-11,42816,SEG24,True
